new entry "Kobold_Percy"
type "Character"
using "_Humanoid"
data "Strength" "7"
data "Dexterity" "15"
data "Constitution" "14"
data "Intelligence" "10"
data "Wisdom" "9"
data "Charisma" "14"
data "Armor" "13"
data "Vitality" "27"
data "Weight" "35"
data "StepsType" "Clawed"
data "ActionResources" "ActionPoint:1;BonusActionPoint:1;Movement:9;ReactionActionPoint:1;SpellSlot:4:4:1"
data "Passives" "PackTactics;SunlightSensitivity;Darkvision;DarknessRules;Perform;Performer"
data "SpellCastingAbility" "Charisma"
data "DarkvisionRange" "9"
data "Proficiency Group" ""
data "DifficultyStatuses" "STATUS_EASY: HEALTHREDUCTION_EASYMODE; STATUS_HARD: HEALTHBOOST_HARDCORE; STATUS_HARD: KOBOLD_HARDCORE"
data "SoundSize" "Medium"
